Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"31-Jul-2024","14211","14470","14211","14329","799k","114.72m","14.35379k","7,684","1",
"30-Jul-2024","14134","14550","14106","14378","1m","185.95m","14.43278k","6,297","1",
"29-Jul-2024","14254","14349","14116","14117","753k","106.8m","14.17936k","5,995","1",
"26-Jul-2024","14084","14258","13891","14204","1m","148.11m","14.06831k","3,344","1",
"25-Jul-2024","13818","13985","13596","13950","595k","82.48m","13.86563k","4,132","1",
"24-Jul-2024","14216","14216","13748","13844","435k","59.98m","13.80748k","1,978","1",
"23-Jul-2024","13915","14000","13750","13930","857k","118.99m","13.89276k","4,110","1",
"22-Jul-2024","13623","13864","13623","13864","597k","82.31m","13.79352k","3,988","1",
"19-Jul-2024","13701","13722","13548","13700","1m","155.42m","13.64271k","4,837","1",
"18-Jul-2024","14067","14119","13701","13704","2m","267.82m","13.87943k","11,877","1",
"17-Jul-2024","14161","14161","13975","13984","628k","87.96m","14.00744k","4,726","1",
"16-Jul-2024","14100","14295","14030","14070","2m","232.03m","14.07635k","8,460","1",
"15-Jul-2024","13965","14299","13833","14299","2m","268.05m","14.2206k","3,857","1",
"12-Jul-2024","13891","14031","13850","13965","1m","160.97m","13.93242k","7,940","1",
"11-Jul-2024","13873","13965","13745","13884","659k","91.5m","13.8857k","3,693","1",
"10-Jul-2024","13736","13834","13673","13759","636k","87.69m","13.77455k","2,897","1",
"09-Jul-2024","13684","13776","13614","13736","449k","61.52m","13.70771k","2,221","1",
"08-Jul-2024","13604","13727","13560","13700","398k","54.43m","13.68497k","2,136","1",
"05-Jul-2024","13698","13850","13573","13604","1m","151.96m","13.67503k","4,649","1",
"04-Jul-2024","13806","13821","13495","13579","841k","114.26m","13.63019k","2,336","1",
"03-Jul-2024","13416","13650","13373","13624","1m","166.24m","13.48502k","5,413","1",
"02-Jul-2024","13745","13745","13437","13437","2m","227.55m","13.50108k","8,337","1",
"01-Jul-2024","13499","13842","13142","13590","2m","227.45m","13.58837k","7,787","1",
"28-Jun-2024","13281","13336","13091","13230","684k","90.48m","13.2239k","3,712","1",
"27-Jun-2024","12968","13230","12947","13186","836k","109.99m","13.15674k","4,106","1",
"26-Jun-2024","12901","13423","12901","13081","612k","80.94m","13.21621k","3,786","1",
"25-Jun-2024","13067","13325","13067","13198","588k","77.52m","13.1948k","3,034","1",
"24-Jun-2024","13200","13350","12981","13218","3m","452.41m","13.18445k","6,023","1",
"21-Jun-2024","13200","13260","12983","13121","2m","311.74m","13.12188k","6,617","1",
"20-Jun-2024","13300","13557","13201","13247","5m","648.3m","13.28282k","7,178","1",
"19-Jun-2024","13548","13610","13311","13326","2m","257.23m","13.42349k","7,010","1",
"18-Jun-2024","12674","13595","12674","13535","3m","357.87m","13.24606k","13,064","1",
"17-Jun-2024","0","0","0","12996","0","0","0","0","1",
"14-Jun-2024","12775","13037","12584","12996","2m","278.79m","12.90535k","13,064","1",
"13-Jun-2024","12600","12835","12600","12774","4m","503.63m","12.75308k","14,040","1",
"12-Jun-2024","12500","12810","12484","12800","1m","159.55m","12.71485k","6,348","1",
"11-Jun-2024","12365","12608","12365","12572","5m","614.78m","12.50008k","10,326","1",
"10-Jun-2024","12419","12489","12267","12485","2m","224.71m","12.42801k","3,948","1",
"07-Jun-2024","12417","12570","12391","12500","2m","191.97m","12.49525k","8,173","1",
"06-Jun-2024","12528","12550","12193","12463","593k","73.82m","12.44241k","2,768","1",
"05-Jun-2024","12606","12606","12215","12297","1m","156.05m","12.38434k","7,746","1",
"04-Jun-2024","12515","12648","12408","12545","925k","116m","12.54239k","7,399","1",
"03-Jun-2024","11850","12558","11850","12532","1m","174.01m","12.46614k","4,778","1",
"31-May-2024","12365","12439","12185","12311","967k","119.14m","12.30105k","2,814","1",
"30-May-2024","12150","12325","11925","12253","2m","208.68m","12.16348k","5,676","1",
"29-May-2024","0","0","0","12347","0","0","0","0","1",
"28-May-2024","12650","12651","12299","12347","724k","89.48m","12.35938k","6,254","1",
"27-May-2024","12800","12800","12226","12314","495k","61.52m","12.38534k","2,080","1",
"24-May-2024","12240","12740","12090","12670","1m","153.44m","12.4685k","5,540","1",
"23-May-2024","12723","13197","12240","12240","947k","118.11m","12.46586k","5,377","1",
"22-May-2024","12744","12923","12701","12801","1m","173.45m","12.80708k","7,116","1",
"21-May-2024","12787","12890","12637","12701","734k","93.29m","12.72653k","2,859","1",
"20-May-2024","12862","12862","12685","12750","950k","121.28m","12.76431k","3,950","1",
"17-May-2024","12804","12913","12695","12721","972k","123.8m","12.74226k","3,529","1",
"16-May-2024","12830","12994","12700","12700","1m","137.63m","12.76917k","4,608","1",
"15-May-2024","12845","13006","12820","12850","2m","210.11m","12.89439k","10,906","1",
"14-May-2024","12606","12840","12602","12685","1m","151.97m","12.71496k","4,292","1",
"13-May-2024","12610","12667","12529","12630","660k","83.23m","12.60429k","4,852","1",
"10-May-2024","12540","12659","12540","12600","3m","372.83m","12.61372k","6,158","1",
"09-May-2024","12498","12595","12412","12430","620k","77.31m","12.46004k","2,124","1",
"08-May-2024","12285","12568","12285","12500","832k","103.57m","12.46236k","4,329","1",
"07-May-2024","12453","12584","12413","12422","762k","95.27m","12.49703k","4,606","1",
"06-May-2024","12182","12469","12182","12300","539k","66.44m","12.3173k","1,082","1",
"03-May-2024","12278","12450","12238","12251","793k","97.72m","12.31706k","3,907","1",
"02-May-2024","12128","12486","12128","12310","883k","108.71m","12.31253k","4,018","1",
"01-May-2024","0","0","0","12071","0","0","0","0","1",
"30-Apr-2024","12000","12337","12000","12071","755k","91.42m","12.10833k","2,607","1",
"29-Apr-2024","11948","12092","11852","12040","415k","49.88m","12.03115k","1,834","1",
"26-Apr-2024","11934","12196","11934","11982","495k","59.72m","12.05965k","2,324","1",
"25-Apr-2024","12029","12298","11860","11913","603k","72.33m","11.99209k","3,645","1",
"24-Apr-2024","12051","12195","11965","12104","643k","77.89m","12.10797k","3,344","1",
"23-Apr-2024","11933","12106","11902","12081","670k","80.57m","12.02579k","2,950","1",
"22-Apr-2024","11933","11933","11595","11760","422k","49.42m","11.71068k","3,315","1",
"19-Apr-2024","11607","11762","11460","11762","635k","73.97m","11.65558k","3,863","1",
"18-Apr-2024","11300","11623","11300","11555","1m","119.54m","11.5401k","6,147","1",
"17-Apr-2024","11562","11697","11446","11488","2m","246.22m","11.55006k","5,480","1",
"16-Apr-2024","11550","11723","11408","11600","681k","78.82m","11.57897k","3,775","1",
"15-Apr-2024","11796","11868","11615","11850","1m","142.07m","11.81669k","5,794","1",
"12-Apr-2024","12431","12630","11770","11891","1m","177.19m","12.16219k","5,887","1",
"11-Apr-2024","12650","12722","12319","12478","843k","104.8m","12.43715k","3,433","1",
"10-Apr-2024","12532","12730","12395","12615","661k","83.17m","12.59186k","3,600","1",
"09-Apr-2024","12602","12694","12470","12488","779k","97.89m","12.55849k","3,727","1",
"08-Apr-2024","12650","12711","12509","12545","983k","123.45m","12.56915k","3,385","1",
"05-Apr-2024","12633","12633","12339","12606","511k","63.97m","12.51763k","2,612","1",
"04-Apr-2024","12444","12689","12444","12689","752k","95.1m","12.64455k","4,123","1",
