Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"10:00:29","1247","824","10,275","BID","","275480","JSE",
"16:18:51","1224","823","10,074","BID","","2586850","JSE",
"16:17:30","1221","824","10,061","ASK","","2574630","JSE",
"12:32:36","1247","803","10,013","BID","","1191680","JSE",
"12:32:08","1245","802","9,985","ASK","","1189030","JSE",
"14:21:08","1232","800","9,856","BID","","1773350","JSE",
"16:17:30","1221","803","9,805","ASK","","2574650","JSE",
"16:10:47","1224","800","9,792","ASK","","2512040","JSE",
"10:21:34","1245","778","9,686","ASK","","457320","JSE",
"09:51:58","1244","778","9,678","BID","","228510","JSE",
"11:41:52","1246","770","9,594","BID","","946100","JSE",
"13:37:05","1233","778","9,593","ASK","","1548340","JSE",
"14:30:13","1229","778","9,562","ASK","","1823810","JSE",
"15:57:54","1228","778","9,554","BID","","2391430","JSE",
"16:40:13","1227","778","9,546","ASK","","2845790","JSE",
"12:49:16","1245","765","9,524","ASK","","1279320","JSE",
"14:43:55","1228","772","9,480","ASK","","1899070","JSE",
"10:53:06","1246","754","9,395","BID","","648790","JSE",
"12:32:36","1247","752","9,377","BID","","1191690","JSE",
"09:42:26","1240","741","9,188","ASK","","197220","JSE",
"14:20:14","1233","744","9,174","ASK","","1770370","JSE",
"12:32:08","1245","733","9,126","ASK","","1188960","JSE",
"12:32:54","1247","731","9,116","ASK","","1193240","JSE",
"10:26:29","1248","725","9,048","ASK","","492870","JSE",
"14:02:40","1235","700","8,645","BID","","1668700","JSE",
"13:29:05","1241","692","8,588","ASK","","1512630","JSE",
"14:49:04","1229","685","8,419","BID","","1934860","JSE",
"14:58:29","1230","675","8,303","BID","","1996460","JSE",
"16:23:23","1226","664","8,141","ASK","","2624990","JSE",
"09:25:53","1237","635","7,855","ASK","","127820","JSE",
"09:25:52","1237","635","7,855","ASK","","127770","JSE",
"09:25:52","1237","632","7,818","ASK","","127790","JSE",
"09:25:52","1237","614","7,595","ASK","","127760","JSE",
"11:34:08","1246","606","7,551","ASK","","889420","JSE",
"09:25:52","1237","610","7,546","ASK","","127780","JSE",
"12:32:54","1250","600","7,500","ASK","","1193200","JSE",
"12:32:53","1249","600","7,494","BID","","1193100","JSE",
"15:57:54","1228","600","7,368","BID","","2391440","JSE",
"15:53:36","1225","600","7,350","BID","","2363280","JSE",
"09:25:52","1237","584","7,224","ASK","","127810","JSE",
"16:35:29","1227","572","7,018","BID","","2775410","JSE",
"09:25:53","1237","551","6,816","ASK","","127830","JSE",
"11:34:08","1246","547","6,816","-","","889470","JSE",
"13:28:48","1241","546","6,776","BID","","1511580","JSE",
"11:35:17","1246","539","6,716","BID","","898650","JSE",
"11:34:08","1246","528","6,579","ASK","","889350","JSE",
"09:25:53","1237","530","6,556","ASK","","127840","JSE",
"11:34:08","1245","506","6,300","ASK","","889580","JSE",
"12:32:54","1247","501","6,247","ASK","","1193250","JSE",
"12:32:36","1247","500","6,235","BID","","1191700","JSE",
"11:34:08","1246","497","6,193","ASK","","889410","JSE",
"11:34:11","1244","497","6,183","BID","","892050","JSE",
"16:23:21","1231","500","6,155","BID","","2624690","JSE",
"16:18:51","1224","500","6,120","BID","","2586830","JSE",
"11:11:24","1249","475","5,933","BID","","769010","JSE",
"12:55:11","1243","473","5,879","BID","","1313100","JSE",
"15:12:29","1228","472","5,796","ASK","","2087330","JSE",
"14:09:42","1236","466","5,760","BID","","1707910","JSE",
"10:59:55","1250","448","5,600","BID","","682670","JSE",
"10:49:38","1246","446","5,557","BID","","629900","JSE",
"11:34:09","1242","447","5,552","ASK","","890170","JSE",
"10:36:00","1248","426","5,316","BID","","547830","JSE",
"11:03:41","1249","422","5,271","BID","","709880","JSE",
"14:40:04","1231","411","5,059","BID","","1874600","JSE",
"11:11:24","1249","400","4,996","BID","","769020","JSE",
"09:53:55","1245","400","4,980","BID","","237470","JSE",
"11:00:01","1248","388","4,842","-","","683420","JSE",
"16:18:51","1226","392","4,806","BID","","2586900","JSE",
"11:34:08","1246","385","4,797","-","","889520","JSE",
"14:49:30","1229","389","4,781","BID","","1936750","JSE",
"11:34:08","1246","381","4,747","ASK","","889430","JSE",
"15:27:55","1230","381","4,686","BID","","2186420","JSE",
"15:39:40","1225","382","4,680","BID","","2270280","JSE",
"11:43:44","1247","372","4,639","BID","","955400","JSE",
"10:11:59","1245","368","4,582","BID","","384640","JSE",
"11:34:08","1245","365","4,544","ASK","","889530","JSE",
"10:26:40","1249","360","4,496","BID","","494650","JSE",
"10:59:47","1249","358","4,471","BID","","682200","JSE",
"10:59:58","1248","347","4,331","ASK","","682910","JSE",
"11:01:19","1247","347","4,327","ASK","","691240","JSE",
"11:21:55","1246","347","4,324","ASK","","818900","JSE",
"11:34:09","1242","347","4,310","ASK","","890250","JSE",
"10:59:58","1248","345","4,306","ASK","","682930","JSE",
"11:34:09","1245","340","4,233","ASK","","890040","JSE",
"10:26:31","1247","339","4,227","BID","","493770","JSE",
"10:59:59","1248","335","4,181","ASK","","683000","JSE",
"11:21:55","1246","334","4,162","ASK","","818880","JSE",
"11:34:08","1246","333","4,149","ASK","","889440","JSE",
"10:02:16","1246","333","4,149","-","","300080","JSE",
