Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"24-Jun-2024","21219","21433","20978","21200","3m","607.93m","21.22547k","13,224","1",
"21-Jun-2024","20908","21489","20908","21219","8m","1.71b","21.25399k","16,210","1",
"20-Jun-2024","21050","21507","20993","21139","11m","2.32b","21.05536k","13,215","1",
"19-Jun-2024","21230","21799","21130","21404","6m","1.4b","21.48859k","21,148","1",
"18-Jun-2024","20111","21464","20088","21244","9m","1.92b","21.13187k","30,876","1",
"17-Jun-2024","0","0","0","19936","0","0","0","0","1",
"14-Jun-2024","18900","20160","18837","19936","6m","1.15b","19.74209k","21,184","1",
"13-Jun-2024","18520","19153","18496","18883","4m","809.4m","18.83681k","15,008","1",
"12-Jun-2024","18400","18673","18296","18474","3m","625.08m","18.46667k","12,838","1",
"11-Jun-2024","18250","18513","18250","18323","5m","1b","18.36827k","13,304","1",
"10-Jun-2024","17750","18412","17750","18250","3m","473.24m","18.28875k","10,913","1",
"07-Jun-2024","17963","18421","17862","18235","3m","586.36m","18.2387k","9,171","1",
"06-Jun-2024","17925","18110","17765","17963","3m","456.05m","17.97017k","12,635","1",
"05-Jun-2024","18550","18584","17983","18021","4m","642.7m","18.15746k","12,323","1",
"04-Jun-2024","18400","18592","18184","18462","4m","746.64m","18.44552k","12,362","1",
"03-Jun-2024","17802","18629","17802","18582","5m","986.28m","18.46009k","11,820","1",
"31-May-2024","17618","18191","17460","17918","13m","2.24b","17.94151k","18,106","1",
"30-May-2024","18300","18320","17451","17618","6m","1.07b","17.70277k","17,613","1",
"29-May-2024","0","0","0","18559","0","0","0","0","1",
"28-May-2024","18480","18599","18359","18559","3m","606.39m","18.48742k","15,373","1",
"27-May-2024","18840","18928","18420","18420","2m","396.55m","18.51079k","7,467","1",
"24-May-2024","18900","18940","18753","18863","4m","714.23m","18.85494k","12,877","1",
"23-May-2024","18790","19086","18697","18865","2m","452.83m","18.92546k","10,226","1",
"22-May-2024","19099","19099","18782","18865","3m","502.08m","18.9002k","14,172","1",
"21-May-2024","18850","19066","18850","19003","2m","457.15m","18.99236k","6,487","1",
"20-May-2024","18939","19154","18921","19079","3m","572.52m","19.06357k","9,282","1",
"17-May-2024","19000","19108","18844","18939","3m","611.96m","18.97665k","9,800","1",
"16-May-2024","18860","19110","18755","19050","4m","799.65m","19.02357k","10,869","1",
"15-May-2024","18642","19020","18584","18835","4m","800.99m","18.89948k","17,913","1",
"14-May-2024","18738","18935","18603","18603","4m","834.75m","18.74045k","15,112","1",
"13-May-2024","18550","18900","18484","18829","4m","733.08m","18.78506k","11,628","1",
"10-May-2024","18376","18694","18280","18524","4m","698.49m","18.55437k","10,273","1",
"09-May-2024","18212","18370","18042","18234","3m","599.46m","18.22034k","7,227","1",
"08-May-2024","18211","18397","18166","18200","4m","743.27m","18.2583k","13,934","1",
"07-May-2024","18350","18432","18234","18291","5m","876.23m","18.33828k","12,320","1",
"06-May-2024","18050","18499","18000","18189","4m","694.49m","18.279k","10,840","1",
"03-May-2024","18194","18200","17898","17898","4m","681.15m","17.9855k","10,400","1",
"02-May-2024","17784","18242","17710","18063","6m","1b","18.08285k","14,434","1",
"01-May-2024","0","0","0","17709","0","0","0","0","1",
"30-Apr-2024","17590","17819","17557","17709","8m","1.44b","17.70835k","13,035","1",
"29-Apr-2024","17283","17575","17283","17500","4m","753.57m","17.48655k","9,337","1",
"26-Apr-2024","17101","17409","17002","17283","7m","1.27b","17.25635k","10,530","1",
"25-Apr-2024","17300","17464","17087","17250","3m","454.4m","17.21434k","8,066","1",
"24-Apr-2024","17200","17426","17106","17225","4m","609.95m","17.25701k","9,512","1",
"23-Apr-2024","17000","17246","16980","17184","3m","525.08m","17.09724k","9,137","1",
"22-Apr-2024","16950","17115","16727","16915","3m","496.1m","16.94679k","9,033","1",
"19-Apr-2024","16630","16777","16601","16755","4m","621.7m","16.71331k","10,097","1",
"18-Apr-2024","16825","16870","16708","16745","11m","1.76b","16.77224k","15,894","1",
"17-Apr-2024","17200","17375","16707","16707","5m","929.31m","16.90177k","15,114","1",
"16-Apr-2024","17399","17442","17116","17183","5m","815.96m","17.27841k","13,814","1",
"15-Apr-2024","17400","17744","17398","17513","4m","680.48m","17.54247k","10,023","1",
"12-Apr-2024","17850","17850","17280","17340","4m","700.64m","17.44274k","15,652","1",
"11-Apr-2024","17767","17817","17467","17671","3m","471.1m","17.64077k","10,173","1",
"10-Apr-2024","17788","17890","17575","17767","5m","963.75m","17.76875k","14,745","1",
"09-Apr-2024","18190","18550","17995","18386","4m","726.34m","18.35191k","11,843","1",
"08-Apr-2024","18100","18145","17921","18100","5m","848.68m","18.05266k","10,319","1",
"05-Apr-2024","18020","18060","17867","18022","5m","834.45m","17.98969k","14,831","1",
"04-Apr-2024","18144","18316","17996","18150","8m","1.37b","18.17043k","21,484","1",
"03-Apr-2024","18460","18578","17988","18160","4m","672.85m","18.16506k","11,544","1",
"02-Apr-2024","18780","18780","18355","18459","2m","457.09m","18.45022k","6,410","1",
"01-Apr-2024","0","0","0","18524","0","0","0","0","1",
"29-Mar-2024","0","0","0","18524","0","0","0","0","1",
"28-Mar-2024","18505","18540","18318","18524","2m","410.75m","18.48752k","6,298","1",
