Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"23-Jul-2024","58","62","58","62","13k","7.33k","58.15873","2","1",
"22-Jul-2024","62","62","62","62","6k","3.72k","62","2","1",
"19-Jul-2024","60","62","55","62","258k","147k","57.06279","13","1",
"18-Jul-2024","58","60","58","58","156k","90.65k","58.15602","6","1",
"17-Jul-2024","60","60","59","59","326k","194.38k","59.63332","7","1",
"16-Jul-2024","60","67","60","62","107k","67.18k","62.82185","11","1",
"15-Jul-2024","61","62","60","60","56k","33.92k","61.08199","7","1",
"12-Jul-2024","58","63","58","60","187k","111.47k","59.59263","9","1",
"11-Jul-2024","66","66","58","62","216k","127.19k","58.89674","17","1",
"10-Jul-2024","61","61","61","61","1k","733.22","61","1","1",
"09-Jul-2024","62","63","58","61","130k","79.85k","61.19328","28","1",
"08-Jul-2024","60","60","60","60","4k","2.61k","60","1","1",
"05-Jul-2024","57","62","57","62","137k","80.99k","59.27314","10","1",
"04-Jul-2024","64","64","57","57","194k","111.71k","57.58495","11","1",
"03-Jul-2024","61","66","60","66","61k","36.85k","60.21408","6","1",
"02-Jul-2024","65","67","58","67","140k","85.39k","60.94409","12","1",
"01-Jul-2024","70","70","58","65","233k","141.11k","60.46993","16","1",
"28-Jun-2024","69","69","60","60","360k","231.37k","64.29054","15","1",
"27-Jun-2024","70","70","69","69","9k","6.46k","69.05349","4","1",
"26-Jun-2024","65","65","62","62","20k","12.77k","63.46094","3","1",
"25-Jun-2024","70","70","69","69","21k","14.84k","69.02326","5","1",
"24-Jun-2024","63","74","62","62","88k","56.24k","63.94006","11","1",
"21-Jun-2024","73","73","61","62","284k","197.23k","69.4352","25","1",
"20-Jun-2024","75","78","73","73","573k","434.83k","75.83996","33","1",
"19-Jun-2024","65","79","65","73","344k","241.1k","70.12748","29","1",
"18-Jun-2024","68","68","64","64","84k","55.44k","65.68025","9","1",
"17-Jun-2024","0","0","0","60","0","0","0","0","1",
"14-Jun-2024","54","60","54","60","269k","155.32k","57.81232","15","1",
"13-Jun-2024","53","57","53","57","349k","190.21k","54.45982","12","1",
"12-Jun-2024","50","53","50","51","121k","61.68k","50.85159","4","1",
"11-Jun-2024","50","54","50","51","200k","106.4k","53.11935","11","1",
"10-Jun-2024","48","50","48","50","139k","66.65k","48.00576","3","1",
"07-Jun-2024","51","54","50","53","261k","130.64k","50.09063","8","1",
"06-Jun-2024","47","55","47","55","173k","84.07k","48.5111","13","1",
"05-Jun-2024","45","47","43","43","425k","186.6k","43.86122","14","1",
"04-Jun-2024","45","45","40","43","5m","1.98m","42.5619","13","1",
"03-Jun-2024","42","43","42","42","671k","286.49k","42.67035","17","1",
"31-May-2024","43","43","42","42","1m","503.38k","42.98943","25","1",
"30-May-2024","42","42","41","42","79k","33.24k","41.93057","6","1",
"29-May-2024","0","0","0","42","0","0","0","0","1",
"28-May-2024","42","42","42","42","20k","8.53k","42","3","1",
"27-May-2024","43","43","43","43","15k","6.58k","43","3","1",
"24-May-2024","41","41","41","41","1k","410","41","1","1",
"23-May-2024","42","43","41","43","292k","121.44k","41.66089","6","1",
"22-May-2024","43","43","42","43","198k","85.07k","42.99055","16","1",
"21-May-2024","43","43","43","43","1m","478.18k","43","19","1",
"20-May-2024","43","43","43","43","25k","10.54k","43","3","1",
"17-May-2024","43","43","42","42","122k","52.46k","42.9189","7","1",
"16-May-2024","44","47","44","47","36k","16.29k","44.82542","4","1",
"15-May-2024","43","43","43","43","135k","58.05k","43","3","1",
"14-May-2024","42","42","42","42","102k","42.8k","42","16","1",
"13-May-2024","42","42","41","41","2m","653.05k","41.98058","15","1",
"10-May-2024","42","42","42","42","246k","103.21k","42","4","1",
"09-May-2024","0","0","0","42","0","0","0","0","1",
"08-May-2024","42","42","41","42","1m","615.74k","41.96252","10","1",
"07-May-2024","42","44","41","42","1m","603.68k","42.04011","13","1",
"06-May-2024","42","42","42","42","211k","88.63k","42","2","1",
"03-May-2024","44","44","41","42","2m","763.5k","42.0254","11","1",
"02-May-2024","44","44","42","42","119k","51.56k","43.41061","8","1",
"01-May-2024","0","0","0","45","0","0","0","0","1",
"30-Apr-2024","48","48","45","45","146k","69.77k","47.91758","6","1",
"29-Apr-2024","45","47","45","47","200k","91.51k","45.79883","5","1",
"26-Apr-2024","42","44","40","40","120k","51.29k","42.6149","9","1",
"25-Apr-2024","40","43","38","43","2m","853.49k","38.76916","11","1",
"24-Apr-2024","41","41","40","40","979k","392.28k","40.05223","8","1",
"23-Apr-2024","45","45","40","40","1m","501.85k","41.60727","14","1",
"22-Apr-2024","43","43","40","40","2m","755.98k","41.61514","9","1",
"19-Apr-2024","44","45","43","43","177k","78.81k","44.62718","9","1",
"18-Apr-2024","48","48","43","43","1k","488.17","47.90677","2","1",
"17-Apr-2024","45","45","44","44","190k","83.87k","44.21259","7","1",
"16-Apr-2024","47","47","45","45","84k","39.67k","46.99981","4","1",
"15-Apr-2024","43","47","43","47","163k","70.04k","43.02457","6","1",
"12-Apr-2024","48","48","43","43","47k","21.58k","45.68029","8","1",
"11-Apr-2024","43","49","43","49","98k","42.55k","43.38103","6","1",
"10-Apr-2024","49","49","43","43","94k","43.26k","45.82234","4","1",
"09-Apr-2024","45","45","41","45","106k","46.21k","43.61406","10","1",
"08-Apr-2024","41","45","41","45","245k","106.21k","43.35074","8","1",
"05-Apr-2024","39","41","37","41","229k","89.6k","39.15898","8","1",
"04-Apr-2024","41","41","39","39","72k","28.14k","39.08333","3","1",
"03-Apr-2024","39","39","39","39","32k","12.61k","39","1","1",
"02-Apr-2024","40","41","39","41","361k","147.6k","40.83862","12","1",
"01-Apr-2024","0","0","0","39","0","0","0","0","1",
"29-Mar-2024","0","0","0","39","0","0","0","0","1",
"28-Mar-2024","36","39","36","39","38k","14.98k","38.97423","3","1",
"27-Mar-2024","0","0","0","39","0","0","0","0","1",
"26-Mar-2024","39","39","36","39","12k","4.62k","38.86905","3","1",
"25-Mar-2024","39","39","37","39","398k","147.76k","37.16393","12","1",
"22-Mar-2024","39","39","39","39","2k","780","39","1","1",
"21-Mar-2024","0","0","0","37","0","0","0","0","1",
"20-Mar-2024","39","39","37","37","19k","6.87k","37.10811","2","1",
"19-Mar-2024","0","0","0","38","0","0","0","0","1",
"18-Mar-2024","39","39","38","38","61k","23.61k","38.67236","2","1",
"15-Mar-2024","39","41","39","41","34k","13.58k","40.29031","2","1",
"14-Mar-2024","41","41","41","41","1k","410","41","1","1",
"13-Mar-2024","40","40","40","40","6k","2.53k","40","1","1",
"12-Mar-2024","39","40","35","40","29k","11.26k","39.09738","4","1",
