Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"22-Apr-2024","200100","203720","199521","201666","373k","752.68m","201.90021k","9,171","1",
"19-Apr-2024","201499","201703","196415","200000","285k","567.96m","198.9702k","7,961","1",
"18-Apr-2024","200917","202030","196116","201710","429k","858.15m","200.18415k","9,825","1",
"17-Apr-2024","201040","203943","197181","198150","332k","660.18m","198.68422k","8,213","1",
"16-Apr-2024","204500","204500","198726","201000","382k","767.67m","200.84696k","8,652","1",
"15-Apr-2024","206500","207850","204345","204345","361k","743.69m","205.79829k","7,387","1",
"12-Apr-2024","214810","214810","201190","204107","361k","739.5m","204.77471k","13,006","1",
"11-Apr-2024","212490","215848","208254","211875","719k","1.52b","211.67963k","11,901","1",
"10-Apr-2024","220000","221498","209795","212490","429k","913.6m","213.23036k","9,889","1",
"09-Apr-2024","221939","222516","218881","220000","585k","1.29b","221.09378k","10,379","1",
"08-Apr-2024","217200","222165","216859","222029","311k","685.84m","220.81247k","7,033","1",
"05-Apr-2024","217545","219929","213680","219929","383k","833.34m","217.91546k","8,435","1",
"04-Apr-2024","206001","219556","206001","217545","245k","529.25m","216.41488k","6,070","1",
"03-Apr-2024","205550","209978","205550","209978","208k","433.52m","208.89676k","5,351","1",
"02-Apr-2024","213900","213900","207832","210000","292k","612.04m","209.73775k","6,217","1",
"01-Apr-2024","0","0","0","209579","0","0","0","0","1",
"29-Mar-2024","0","0","0","209579","0","0","0","0","1",
"28-Mar-2024","208000","212314","206384","209579","205k","429m","209.09634k","3,732","1",
"27-Mar-2024","205500","211697","205500","210600","114k","239.92m","210.20726k","3,049","1",
"26-Mar-2024","207246","211377","207246","211353","241k","507.19m","210.4504k","5,213","1",
"25-Mar-2024","202002","208992","202002","208992","301k","622.01m","207.33171k","3,608","1",
"22-Mar-2024","202272","208923","202272","207857","413k","857.79m","207.68686k","7,023","1",
"21-Mar-2024","0","0","0","205909","0","0","0","0","1",
"20-Mar-2024","204312","207711","204312","205909","566k","1.16b","204.7946k","3,463","1",
"19-Mar-2024","207360","207360","203637","205410","191k","391.7m","205.56804k","4,109","1",
"18-Mar-2024","210503","214290","204795","206033","198k","408.72m","206.60567k","5,011","1",
"15-Mar-2024","213275","213275","208635","208831","490k","1.02b","209.32002k","4,578","1",
"14-Mar-2024","214999","214999","209701","211113","141k","296.94m","211.28021k","2,871","1",
"13-Mar-2024","212864","213354","210435","212144","203k","429.75m","212.02671k","4,501","1",
"12-Mar-2024","211099","218830","210976","211387","262k","560.58m","213.97551k","6,593","1",
"11-Mar-2024","210000","214660","207223","213500","223k","475.2m","212.87082k","4,167","1",
"08-Mar-2024","203736","213930","203619","210222","313k","655.94m","210.18306k","7,076","1",
"07-Mar-2024","208999","208999","201094","203500","164k","333.2m","203.71051k","4,607","1",
"06-Mar-2024","200500","207449","200494","206869","180k","371.14m","205.70813k","6,466","1",
"05-Mar-2024","204899","206784","200870","201644","246k","499.39m","202.46901k","5,411","1",
"04-Mar-2024","204544","206999","203555","204900","126k","258.96m","205.22424k","4,127","1",
"01-Mar-2024","202795","205253","200181","205050","132k","269.49m","203.47186k","3,733","1",
"29-Feb-2024","199961","203279","198698","201777","403k","812.29m","201.52293k","4,762","1",
"28-Feb-2024","201086","203996","196890","199961","172k","341.39m","199.03744k","4,118","1",
"27-Feb-2024","201613","203163","198401","201086","177k","355.08m","201.12091k","4,322","1",
"26-Feb-2024","204000","204676","200633","201841","288k","583.22m","201.97475k","5,543","1",
"23-Feb-2024","209800","212000","205301","205689","303k","626.51m","206.5229k","6,761","1",
"22-Feb-2024","208492","211564","207316","209800","229k","480.51m","209.53555k","4,346","1",
"21-Feb-2024","204633","208047","202998","208047","258k","534.12m","206.95406k","5,692","1",
"20-Feb-2024","202001","204634","201136","204634","153k","311.76m","204.13079k","3,319","1",
"19-Feb-2024","199826","204916","199826","204000","119k","242.29m","203.59973k","3,954","1",
"16-Feb-2024","200291","204408","199241","202546","268k","542.65m","202.46661k","5,806","1",
"15-Feb-2024","199860","200410","197368","199756","190k","379.82m","199.51276k","4,113","1",
"14-Feb-2024","199999","201431","198521","200499","250k","500.61m","200.18533k","3,557","1",
"13-Feb-2024","200666","203386","199001","200000","133k","266.1m","200.88811k","3,175","1",
"12-Feb-2024","201001","203017","198314","202000","180k","362.15m","201.04425k","4,777","1",
"09-Feb-2024","206800","207257","201385","202312","136k","275.55m","202.95679k","4,050","1",
