Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"19-Oct-2023","17282","17503","17113","17313","2m","288.26m","17.33482k","5,559","1",
"18-Oct-2023","17251","17638","17184","17281","1m","208.61m","17.34905k","4,862","1",
"17-Oct-2023","17300","17595","17300","17508","2m","291.04m","17.49763k","6,510","1",
"16-Oct-2023","17352","17689","17274","17484","1m","246.95m","17.43941k","7,032","1",
"13-Oct-2023","17550","17663","17396","17397","1m","225.3m","17.50072k","6,933","1",
"12-Oct-2023","18089","18089","17368","17610","2m","412.24m","17.66396k","11,877","1",
"11-Oct-2023","17981","18115","17871","17896","2m","415.1m","17.93164k","6,683","1",
"10-Oct-2023","17664","17982","17360","17981","2m","377.22m","17.85536k","7,695","1",
"09-Oct-2023","17450","17556","17100","17359","2m","295.65m","17.3809k","5,073","1",
"06-Oct-2023","17200","17504","17144","17331","1m","211.81m","17.34236k","3,631","1",
"05-Oct-2023","16993","17416","16940","17301","2m","280.43m","17.21376k","6,114","1",
"04-Oct-2023","17199","17243","16881","17032","2m","266.2m","17.07374k","5,672","1",
"03-Oct-2023","17272","17435","17039","17195","1m","234.1m","17.23196k","6,668","1",
"02-Oct-2023","17483","17636","17047","17128","2m","340.94m","17.26255k","6,329","1",
"29-Sep-2023","17669","17718","17367","17483","2m","312.81m","17.5144k","4,750","1",
"28-Sep-2023","17500","17601","17343","17492","2m","425.01m","17.48715k","6,263","1",
"27-Sep-2023","17505","17676","17472","17570","3m","475.42m","17.56703k","6,951","1",
"26-Sep-2023","17552","17693","17408","17664","4m","730.07m","17.61885k","9,015","1",
"25-Sep-2023","0","0","0","17804","0","0","0","0","1",
"22-Sep-2023","17999","18009","17773","17804","2m","285.82m","17.85511k","4,576","1",
"21-Sep-2023","18095","18095","17691","17833","8m","1.35b","17.86827k","8,162","1",
"20-Sep-2023","16931","18097","16931","18097","4m","653.62m","17.8168k","12,228","1",
"19-Sep-2023","17200","17240","16964","17020","2m","329.31m","17.07113k","7,563","1",
"18-Sep-2023","17199","17319","17036","17127","2m","275.28m","17.1507k","6,270","1",
"15-Sep-2023","17310","17443","17127","17199","5m","883.28m","17.22565k","7,883","1",
"14-Sep-2023","17500","17500","16997","17310","2m","289.96m","17.24566k","5,540","1",
"13-Sep-2023","17500","17575","17154","17308","1m","258.27m","17.28997k","5,360","1",
"12-Sep-2023","18201","18277","18026","18093","2m","296.2m","18.11173k","4,836","1",
"11-Sep-2023","18100","18419","18055","18234","2m","378.38m","18.29392k","7,561","1",
"08-Sep-2023","17835","18094","17792","18063","2m","435.59m","17.98508k","4,198","1",
"07-Sep-2023","17611","18028","17611","17832","2m","269.43m","17.86711k","4,362","1",
"06-Sep-2023","17985","18183","17728","17862","2m","281.93m","17.88353k","4,642","1",
"05-Sep-2023","18200","18284","17893","18116","2m","389.75m","18.06273k","4,756","1",
"04-Sep-2023","18425","18549","18172","18265","1m","214.85m","18.30332k","3,794","1",
"01-Sep-2023","18499","18532","18123","18123","2m","278.9m","18.22013k","4,752","1",
"31-Aug-2023","18600","18648","18229","18229","4m","700.14m","18.26346k","4,826","1",
"30-Aug-2023","18461","18810","18450","18666","1m","257.99m","18.68081k","5,239","1",
"29-Aug-2023","18760","18847","18432","18530","2m","279.49m","18.56644k","4,835","1",
"28-Aug-2023","18868","18900","18536","18810","2m","286.36m","18.76401k","4,616","1",
"25-Aug-2023","18197","18737","18197","18560","2m","407.18m","18.60101k","5,851","1",
"24-Aug-2023","18196","18571","18196","18470","2m","451.16m","18.45954k","6,319","1",
"23-Aug-2023","17881","18321","17881","18273","2m","310.46m","18.1993k","6,882","1",
"22-Aug-2023","18072","18213","17845","17894","2m","432.56m","17.96303k","7,036","1",
"21-Aug-2023","17492","18064","17492","17960","3m","452.18m","17.94831k","6,733","1",
"18-Aug-2023","17527","17657","17443","17574","5m","797.73m","17.53828k","8,386","1",
"17-Aug-2023","17656","17750","17372","17728","4m","659.59m","17.64139k","10,748","1",
"16-Aug-2023","17220","17784","17065","17784","5m","802.99m","17.48414k","9,688","1",
"15-Aug-2023","17776","17776","17225","17381","3m","460.74m","17.35495k","5,576","1",
"14-Aug-2023","18165","18240","17526","17776","3m","537.87m","17.8286k","7,980","1",
"11-Aug-2023","18400","18449","18249","18393","2m","324.8m","18.36984k","3,948","1",
"10-Aug-2023","17889","18495","17889","18468","2m","330.98m","18.36127k","4,926","1",
"09-Aug-2023","0","0","0","18287","0","0","0","0","1",
"08-Aug-2023","18400","18450","18195","18287","2m","275.91m","18.31078k","4,539","1",
"07-Aug-2023","18460","18593","18130","18287","2m","274.03m","18.2777k","4,111","1",
"04-Aug-2023","18284","18447","18134","18360","2m","451.1m","18.31892k","6,669","1",
"03-Aug-2023","18200","18208","17613","17991","4m","688.84m","17.8596k","9,112","1",
"02-Aug-2023","18540","18726","18057","18120","4m","688.92m","18.23912k","9,742","1",
"01-Aug-2023","18945","19055","18800","18859","3m","499.07m","18.88688k","4,730","1",
"31-Jul-2023","18850","19020","18776","18945","3m","538.97m","18.92096k","9,038","1",
