Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"14-Jun-2024","3579","3700","3530","3564","111k","4.05m","3.63782k","126","1",
"13-Jun-2024","3647","3647","3546","3600","64k","2.29m","3.58143k","183","1",
"12-Jun-2024","3560","3601","3555","3555","89k","3.21m","3.59665k","40","1",
"11-Jun-2024","3600","3600","3561","3576","152k","5.49m","3.59957k","114","1",
"10-Jun-2024","3740","3740","3570","3600","460k","16.56m","3.60064k","251","1",
"07-Jun-2024","3575","3740","3556","3718","69k","2.51m","3.66339k","199","1",
"06-Jun-2024","3456","3559","3421","3535","15k","521.46k","3.46439k","182","1",
"05-Jun-2024","3484","3540","3476","3476","31k","1.08m","3.48919k","46","1",
"04-Jun-2024","3550","3551","3502","3540","389k","13.79m","3.54322k","66","1",
"03-Jun-2024","3576","3613","3481","3550","83k","2.94m","3.55169k","65","1",
"31-May-2024","3559","3649","3558","3576","38k","1.36m","3.56117k","55","1",
"30-May-2024","3581","3610","3558","3591","96k","3.42m","3.56955k","101","1",
"29-May-2024","0","0","0","3600","0","0","0","0","1",
"28-May-2024","3648","3648","3595","3600","211k","7.64m","3.61947k","89","1",
"27-May-2024","3740","3740","3652","3699","99k","3.67m","3.70077k","138","1",
"24-May-2024","3729","3729","3480","3680","539k","19.91m","3.69358k","296","1",
"23-May-2024","3726","3726","3599","3669","216k","7.85m","3.6248k","252","1",
"22-May-2024","3701","3750","3666","3706","49k","1.82m","3.71344k","159","1",
"21-May-2024","3703","3770","3700","3760","110k","4.11m","3.72538k","262","1",
"20-May-2024","3701","3799","3600","3734","107k","3.95m","3.69907k","167","1",
"17-May-2024","3455","3799","3444","3726","388k","13.8m","3.67309k","225","1",
"16-May-2024","3436","3454","3400","3450","274k","9.39m","3.432k","253","1",
"15-May-2024","3451","3452","3356","3415","2m","74.51m","3.40669k","319","1",
"14-May-2024","3450","3450","3350","3412","356k","12.24m","3.43697k","388","1",
"13-May-2024","3149","3599","3149","3449","1m","49.77m","3.43718k","250","1",
"10-May-2024","3111","3200","3050","3126","19k","587.24k","3.12975k","43","1",
"09-May-2024","3061","3248","3061","3176","84k","2.7m","3.17953k","96","1",
"08-May-2024","3041","3180","3041","3180","44k","1.38m","3.13938k","191","1",
"07-May-2024","3050","3081","3050","3051","30k","919.73k","3.06997k","42","1",
"06-May-2024","3030","3155","3030","3050","40k","1.23m","3.07489k","88","1",
"03-May-2024","3065","3169","3050","3050","283k","8.65m","3.05199k","61","1",
"02-May-2024","3050","3100","3050","3050","38k","1.16m","3.05723k","165","1",
"01-May-2024","0","0","0","3050","0","0","0","0","1",
