Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"11-Apr-2023","22330","22581","22135","22370","1m","315.07m","22.37384k","6,251","1",
"10-Apr-2023","0","0","0","22135","0","0","0","0","1",
"07-Apr-2023","0","0","0","22135","0","0","0","0","1",
"06-Apr-2023","22480","22480","22094","22135","2m","405.95m","22.17705k","6,756","1",
"05-Apr-2023","22287","22438","22053","22213","1m","272.55m","22.27982k","4,492","1",
"04-Apr-2023","22221","22570","21948","22446","2m","354.45m","22.34839k","7,571","1",
"03-Apr-2023","21535","22025","21535","21933","1m","324.66m","21.9096k","6,220","1",
"31-Mar-2023","21815","21907","21532","21685","1m","273.09m","21.66993k","4,563","1",
"30-Mar-2023","21792","22044","21633","21848","2m","355.37m","21.89034k","7,100","1",
"29-Mar-2023","21500","21679","21435","21670","2m","401.4m","21.58449k","6,237","1",
"28-Mar-2023","21322","21747","21322","21593","3m","588.59m","21.61682k","7,630","1",
"27-Mar-2023","21008","21496","21005","21322","2m","457.72m","21.32199k","7,278","1",
"24-Mar-2023","21150","21229","20626","20770","3m","636.83m","20.78324k","10,332","1",
"23-Mar-2023","21380","21470","20990","21300","2m","380.3m","21.33134k","6,424","1",
"22-Mar-2023","20971","21586","20971","21291","2m","453.91m","21.39639k","8,154","1",
"21-Mar-2023","0","0","0","20796","0","0","0","0","1",
"20-Mar-2023","21035","21070","20415","20796","2m","456.82m","20.79013k","8,032","1",
"17-Mar-2023","21879","22168","21133","21197","3m","695.03m","21.38769k","6,880","1",
"16-Mar-2023","21409","21892","21188","21426","3m","749.37m","21.47299k","5,774","1",
"15-Mar-2023","21916","21946","21176","21362","2m","432.99m","21.44252k","9,638","1",
"14-Mar-2023","22211","22211","21350","21917","2m","520.01m","21.80737k","8,466","1",
"13-Mar-2023","22493","23148","21602","22094","2m","418.84m","21.98187k","8,037","1",
"10-Mar-2023","22499","22838","22018","22570","1m","299.7m","22.538k","7,888","1",
"09-Mar-2023","22100","23086","22100","22730","2m","552.23m","22.74367k","7,646","1",
"08-Mar-2023","23200","23311","21709","22299","5m","1.16b","22.15226k","14,296","1",
"07-Mar-2023","23168","24000","23103","23172","3m","663.45m","23.38414k","8,624","1",
"06-Mar-2023","23514","23603","23043","23383","693k","161.93m","23.37336k","3,462","1",
"03-Mar-2023","22780","23299","22780","23232","732k","169.64m","23.1706k","4,193","1",
